,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,name,year,odokm,price,grade,drive,owner,url,date
10,,,,,,,2018-AWD-SSE-AD-12930081,2018 Toyota Kluger GXL Auto AWD,2018,103300,39999,2,AWD,private,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-awd/SSE-AD-12930081/,2022-06-22 00:00:00
11,,,,,,,2015-2WD-SSE-AD-12720105,2015 Toyota Kluger GX Auto 2WD,2015,143000,27995,1,2WD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-gx-auto-2wd/SSE-AD-12720105/,2022-06-22 00:00:00
12,,,,,,,2014-AWD-SSE-AD-12752087,2014 Toyota Kluger Grande Auto AWD,2014,101900,37500,3,AWD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-awd/SSE-AD-12752087/,2022-06-22 00:00:00
13,,,,,,,2019-AWD-SSE-AD-12537255,2019 Toyota Kluger Grande Auto AWD,2019,15000,61999,3,AWD,private,https://www.carsales.com.au/cars/details/2019-toyota-kluger-grande-auto-awd/SSE-AD-12537255/,2022-06-22 00:00:00
0,,,,,,,2016-AWD-SSE-AD-12447352,2016 Toyota Kluger Grande Auto AWD,2016,54000,48000,3,AWD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-grande-auto-awd/SSE-AD-12447352/,2022-06-22 00:00:00
1,,,,,,,2015-AWD-SSE-AD-12985739,2015 Toyota Kluger Grande Auto AWD,2015,112549,41500,3,AWD,private,https://www.carsales.com.au/cars/details/2015-toyota-kluger-grande-auto-awd/SSE-AD-12985739/,2022-06-22 00:00:00
2,,,,,,,2017-2WD-SSE-AD-12934227,2017 Toyota Kluger GX Auto 2WD,2017,111000,33500,1,2WD,private,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/SSE-AD-12934227/,2022-06-22 00:00:00
3,,,,,,,2014-AWD-SSE-AD-12621245,2014 Toyota Kluger GX Auto AWD,2014,91275,30900,1,AWD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-awd/SSE-AD-12621245/,2022-06-22 00:00:00
4,,,,,,,2011-2WD-SSE-AD-13015561,2011 Toyota Kluger KX-S Auto 2WD MY11,2011,141000,23700,2,2WD,private,https://www.carsales.com.au/cars/details/2011-toyota-kluger-kx-s-auto-2wd-my11/SSE-AD-13015561/,2022-06-22 00:00:00
5,,,,,,,2014-2WD-SSE-AD-12059000,2014 Toyota Kluger Grande Auto 2WD,2014,71243,39500,3,2WD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-grande-auto-2wd/SSE-AD-12059000/,2022-06-22 00:00:00
6,,,,,,,2019-AWD-SSE-AD-12617076,2019 Toyota Kluger GXL Auto AWD,2019,19649,58650,2,AWD,private,https://www.carsales.com.au/cars/details/2019-toyota-kluger-gxl-auto-awd/SSE-AD-12617076/,2022-06-22 00:00:00
7,,,,,,,2012-2WD-SSE-AD-13032270,2012 Toyota Kluger Altitude Auto 2WD MY12,2012,145842,24000,1,2WD,private,https://www.carsales.com.au/cars/details/2012-toyota-kluger-altitude-auto-2wd-my12/SSE-AD-13032270/,2022-06-22 00:00:00
8,,,,,,,2017-2WD-SSE-AD-12624836,2017 Toyota Kluger GX Auto 2WD,2017,67000,34999,1,2WD,private,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/SSE-AD-12624836/,2022-06-22 00:00:00
9,,,,,,,2014-AWD-SSE-AD-12966518,2014 Toyota Kluger GX Auto AWD,2014,144226,28990,1,AWD,private,https://www.carsales.com.au/cars/details/2014-toyota-kluger-gx-auto-awd/SSE-AD-12966518/,2022-06-22 00:00:00
10,,,,,,,2017-2WD-SSE-AD-12456464,2017 Toyota Kluger GX Auto 2WD,2017,113000,34500,1,2WD,private,https://www.carsales.com.au/cars/details/2017-toyota-kluger-gx-auto-2wd/SSE-AD-12456464/,2022-06-22 00:00:00
11,,,,,,,2016-2WD-SSE-AD-12177637,2016 Toyota Kluger GXL Auto 2WD,2016,89000,38000,2,2WD,private,https://www.carsales.com.au/cars/details/2016-toyota-kluger-gxl-auto-2wd/SSE-AD-12177637/,2022-06-22 00:00:00
0,,,,,,,2018-AWD-SSE-AD-12848247,2018 Toyota Kluger GXL Auto AWD,2018,37000,54000,2,AWD,private,https://www.carsales.com.au/cars/details/2018-toyota-kluger-gxl-auto-awd/SSE-AD-12848247/,2022-06-22 00:00:00
1,,,,,,,2019-2WD-SSE-AD-12313738,2019 Toyota Kluger Grande Auto 2WD,2019,27000,58500,3,2WD,private,https://www.carsales.com.au/cars/details/2019-toyota-kluger-grande-auto-2wd/SSE-AD-12313738/,2022-06-22 00:00:00
